"Timestamp","Please enter your user ID:","How difficult is reading the characters on the screen?","How difficult is differentiating all colour on the screen?","What is your opinion about organization of information on the screen?","How difficult is it to give consent?","How difficult is it to revoke consent?","How difficult is it to navigate the application?","I can easily give consent.","I can easily revoke consent.","On a scale of 1 to 4, 1 being the lowest and 4 being the highest, how would you rate the design of the application?","I feel motivated to participate in a campaign.","I understand what reward I will get for participating in a campaign.","I find the incentives attractive and tempting.","I would recommends this app to others.","If this app is free, I would definitely use it.","If the app is not free, I would still use it.","I find the colour scheme easy to interpret:","Select the adjectives that describe the app the best in your opinion:","What design feature did you like the most?","What design feature did you like the least?","What would you improve if you could?","I can imagine using the app on my mobile device.","I can imagine using the app on a tablet.","Select your overall satisfaction with the User-Interface:		","Please, add here any other comments:"
"2021/02/11 1:24:50 pm EET","984266A64FBC0C5E138C6BF76C1504AA4FD51B91","4","4","3","4","4","4","Agree","Agree","3","4","2","Strongly agree","5","Strongly agree","Disagree","5","Organised;Effective;Valuable;Flexible;Innovative","I like the design in general","No specific feature","Add point overview to the shop feature, Show how many points you will receive after sharing/agreeing to a campaign","Strongly agree","Strongly disagree","Somewhat satisfied","Maybe add list of rejected campaigns next to active campaigns? On the other hand, after having navigated through the entire app once, you know where to it easily."
"2021/02/11 3:55:11 pm EET","3F451A3766D194D3516FDC020B98F0AE37AFC3C9","4","3","3","4","5","3","Strongly agree","Strongly agree","2","2","5","Strongly agree","4","Agree","Disagree","3","Organised;Effective","The New Campaigns feature","The menu bar icons","The interface can be a bit more organised and also the color scheme","Strongly agree","Strongly agree","Somewhat satisfied",""
"2021/02/11 8:40:37 pm EET","9509A16B87087AB179F007F4F44C77887BF9A80C","3","3","3","4","5","4","Strongly agree","Strongly agree","3","4","4","Strongly agree","3","Agree","Strongly disagree","4","Time-consuming;Organised;Valuable","New campaigns","The one with the shopping card","Shopping card- I would try to make it more clear for what does it stands for","Agree","Strongly disagree","Somewhat satisfied",""
"2021/02/11 9:27:17 pm EET","A5F2CCB782CCBD749A12A9F755003FFB2D081A66","4","4","4","4","5","2","Strongly agree","Strongly agree","3","4","4","Agree","5","Agree","Disagree","4","Organised;Valuable;Flexible;Innovative","nothing","colors","using my points to suggest me vouchers which i can buy
colour the best deal","Strongly agree","Agree","Somewhat satisfied",""
"2021/02/11 9:54:31 pm EET","D08D1E1B7CA9FDB56E052BB5F51AAD5A55C906FE","2","4","4","4","5","3","Strongly agree","Strongly agree","3","3","5","Agree","4","Strongly agree","Agree","4","Organised;Effective;Valuable;Innovative","After entering the new campaign button","After entering the shop button","","Strongly agree","Strongly agree","Somewhat satisfied",""
"2021/02/11 10:39:35 pm EET","366ADF0322E60AE9C721AD8FD1F60F900943C0FD ","3","4","3","4","5","2","Agree","Agree","3","4","1","Agree","3","Agree","Disagree","4","Frustrating;Organised;Effective;Flexible","Transitions between pages","Lack of go back buttons","The appearance of home page - colour(light)","Agree","Disagree","Somewhat satisfied",""
"2021/02/11 11:15:01 pm EET","4B2AAD7D8325C940D9E9063C541972F972D9A773 ","3","4","3","3","5","3","Agree","Agree","3","3","3","Agree","4","Strongly agree","Strongly disagree","4","Effective;Valuable;Innovative","the design itself","navigation and colour scheme","navigation, go back buttons","Agree","Disagree","Somewhat satisfied",""
"2021/02/12 3:47:19 pm EET","216CC5BDCD11F4DFC53713FFF71C738E0606B0A6","3","4","3","3","4","3","Agree","Agree","2","2","3","Agree","2","Disagree","Disagree","4","Time-consuming;Valuable;Flexible","user friendly","the font of the information which is appread by clicking ""i"" button","","Disagree","Agree","Somewhat satisfied",""
"2021/02/12 7:35:22 pm EET","4B673F914DB3B0B03D45F67E17B6D8CB4D16E010","4","4","4","4","4","4","Strongly agree","Strongly agree","3","4","5","Strongly agree","5","Strongly agree","Strongly disagree","5","Organised;Effective","home button always visible","points not shown in shop","set rewards into categories","Strongly agree","Strongly agree","Very satisfied",""
"2021/02/12 10:00:53 pm EET","29AF1C63A1D77548F4E82FE117D612C078F170CF","4","4","4","4","5","4","Strongly agree","Strongly agree","2","3","5","Strongly agree","4","Agree","Strongly disagree","5","Complex;Organised;Effective","Campaign tiles","homescreen","modern design","Agree","Agree","Very satisfied",""
