"Timestamp","Please enter your user ID:","What device did you use to interact with the application? ","How difficult is reading the characters on the screen?","How difficult is differentiating all colours on the screen?","What is your opinion about organization of information on the screen?","How difficult is it to navigate the application?","How would you rate the design of the application?","Select the adjectives that describe the application the best in your opinion:","Select your overall satisfaction with the user interface:		","I think the graph is very useful in this visualisation. ","Please, add here any other comments:","I understand what is visualised in the application.","I can view each campaign easily.","I can see who has my data.","The graph helped me understand what happens to my data.","I feel more confident in my knowledge of data sharing.","I understand how to select a campaign.","I can easily see what happened to my data at a specific time.","Do you think companies and institutions in Europe respect your data privacy?","Do you think using this tool creates an added value which was missing before?","If such a tool were available to you in any service or application, would you share selected data with a company or institution?","Would you agree to share vehicle data like GPS location, speedometer data or fuel gauge readings, if you had the tool available to control the sharing activities?","Please insert here additional comments concerning  data privacy concerns of the tool."
"2021/02/11 9:54:31 pm EET","A5F2CCB782CCBD749A12A9F755003FFB2D081A66","Laptop","4","4","4","4","4","Organised;Valuable;Flexible;Innovative","Very satisfied","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes","Strongly agree","Probably","Yes","Yes","Yes",""
"2021/02/11 10:49:55 pm EET","366ADF0322E60AE9C721AD8FD1F60F900943C0FD ","Phone","3","4","3","4","4","Organised;Effective;Valuable;Innovative","Very satisfied","Agree","","Agree","Agree","Agree","Agree","Agree","No","Agree","Probably","Maybe","Possibly","Yes",""
"2021/02/11 11:26:59 pm EET","4B2AAD7D8325C940D9E9063C541972F972D9A773 ","Laptop","3","2","3","3","3","Organised;Flexible;Innovative","Very satisfied","Agree","in light mode is difficult to see all colours","Agree","Agree","Agree","Agree","Neutral","Yes","Agree","Probably","Yes","Possibly","Possibly","I would like to see even more details"
"2021/02/12 4:07:25 pm EET","216CC5BDCD11F4DFC53713FFF71C738E0606B0A6","Laptop","3","3","2","3","1","Time-consuming;Hard to use","Dissatisfied","Disagree","","Agree","Agree","Neutral","Disagree","Neutral","Yes","Neutral","Probably","Probably not","Possibly, rather than without the tool","Possibly",""
"2021/02/14 6:23:02 pm EET","16e02eb2-f7b7-45ab-b84b-721c3754b1bd","Laptop","4","4","3","4","4","Organised;Effective;Valuable;Innovative","Somewhat satisfied","Strongly agree","","Agree","Agree","Agree","Strongly agree","Neutral","Yes","Agree","Probably not","Yes","Possibly","Possibly",""
"2021/02/14 7:49:13 pm EET","christof_user1","Desktop Pc","4","4","4","4","4","Organised;Flexible;Innovative","Very satisfied","Strongly agree","-Die bewegenden farbigen Kugeln sind irritierend und unnötig für die Information 
-Die an der Studie beteiligten Firmen sind zu wenig ersichtlich in der Darstellung  
","Agree","Strongly agree","Neutral","Agree","Agree","Yes","Neutral","Yes","Yes","Yes","Yes",""
"2021/02/15 12:24:25 pm EET","5C3C375CF1596117E42FDF542692192609C9EA86","Laptop","4","4","4","4","3","Organised","Very satisfied","Strongly agree","I expected the central car icon to be clickable (and show me all the campaigns data combined). The same with GPS/Speed/Fuel (they should show the combined data for all the campaigns for a particular type).","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Yes","Strongly agree","Probably","Maybe","Probably not","Probably not",""
"2021/02/15 1:37:25 pm EET","46F00883D4D34BD5D6294418F28435930ACD211C","Laptop","4","4","3","4","4","Organised;Effective;Innovative","Very satisfied","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Yes","Strongly agree","Probably","Maybe","Possibly, rather than without the tool","Possibly",""
"2021/02/15 1:56:45 pm EET","DF3E3854692D0D24C666D662D169A615E5C304E5","Tablet","4","4","4","3","3","Complex;Innovative","Very satisfied","Agree","","Agree","Neutral","Agree","Strongly agree","Strongly agree","Yes","Strongly agree","Probably","Maybe","Possibly, rather than without the tool","Possibly, rather than without the tool",""
"2021/02/15 2:21:19 pm EET","christof_user2","Laptop","4","4","3","4","3","nice to look at, useless","Somewhat satisfied","Agree","nice to look at, doesnt change stance on consent. Don't show all data points in visualisation","Strongly agree","Agree","Agree","Neutral","Neutral","Yes","Neutral","Probably","Not at all","Probably not","Possibly, rather than without the tool",""
"2021/02/15 2:51:32 pm EET","984266A64FBC0C5E138C6BF76C1504AA4FD51B91","Desktop Pc","4","4","4","4","4","Effective;Flexible","Very satisfied","Agree","","Agree","Strongly agree","Strongly agree","Agree","Neutral","Yes","Strongly agree","Yes","Maybe","Possibly, rather than without the tool","Possibly, rather than without the tool",""
"2021/02/15 7:33:15 pm EET","74726619-11b5-416e-af8c-495e9ed6e5eb","Desktop Pc","4","4","4","3","3","Organised;Flexible","Very satisfied","Agree","","Neutral","Neutral","Agree","Neutral","Agree","Yes","Agree","Probably not","Maybe","Possibly, rather than without the tool","Possibly",""
"2021/02/15 8:59:49 pm EET","21ac44ec-0a82-4e85-b31e-db4a018ac587","Laptop","4","4","4","4","4","Organised;Effective;Valuable;Innovative","Very satisfied","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Yes","Strongly agree","Probably","Yes","Yes","Possibly, rather than without the tool","As long as the privacy claims are actually respected."
